-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  34.15   Longitude 77.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M
2020,1,4,6,0.0,0.0,0.0,-25.06,100.0,2.61
2020,1,4,7,33.95,52.73,34.53,-25.05,98.67,2.62
2020,1,4,8,137.7,12.05,138.11,-23.21,95.76,2.41
2020,1,4,9,222.27,5.3,208.19,-19.47,83.72,3.35
2020,1,4,10,303.38,55.33,255.28,-16.91,73.06,3.82
2020,1,4,11,209.93,31.36,164.69,-16.27,73.79,3.73
2020,1,4,12,222.25,23.31,183.7,-16.0,73.7,3.62
2020,1,4,13,202.82,0.0,179.94,-16.06,73.4,3.45
2020,1,4,14,134.07,0.0,127.36,-16.09,73.55,3.18
2020,1,4,15,74.9,6.15,78.97,-16.24,78.94,2.59
2020,1,4,16,21.45,33.78,21.52,-17.38,90.63,1.75
2020,1,4,17,0.0,0.0,0.0,-18.84,88.91,2.09
2020,1,4,18,0.0,0.0,0.0,-19.54,89.13,2.17
2020,1,4,19,0.0,0.0,0.0,-19.87,91.18,2.18
2020,1,4,20,0.0,0.0,0.0,-20.33,93.48,2.24
2020,1,4,21,0.0,0.0,0.0,-20.75,95.43,2.33
2020,1,4,22,0.0,0.0,0.0,-21.26,97.24,2.43
2020,1,4,23,0.0,0.0,0.0,-21.84,98.58,2.48
2020,1,5,0,0.0,0.0,0.0,-22.21,96.66,2.42
2020,1,5,1,0.0,0.0,0.0,-22.46,95.64,2.24
2020,1,5,2,0.0,0.0,0.0,-22.96,96.86,2.17
2020,1,5,3,0.0,0.0,0.0,-23.31,99.04,2.03
2020,1,5,4,0.0,0.0,0.0,-23.56,100.0,1.86
2020,1,5,5,0.0,0.0,0.0,-23.93,100.0,1.74
2020,1,5,6,0.0,0.0,0.0,-24.54,100.0,1.67
2020,1,5,7,65.03,412.61,23.22,-25.28,100.0,1.71
2020,1,5,8,269.08,838.99,49.72,-25.14,96.89,1.87
2020,1,5,9,414.35,884.74,85.59,-22.37,90.76,2.09
2020,1,5,10,406.2,478.26,164.82,-18.46,68.53,2.04
2020,1,5,11,435.0,369.88,272.97,-16.71,64.01,2.17
2020,1,5,12,324.75,27.18,279.08,-15.72,61.94,2.62
2020,1,5,13,307.5,126.18,230.49,-15.27,61.13,2.63
2020,1,5,14,224.38,9.61,212.19,-15.21,58.49,1.94
2020,1,5,15,95.55,3.58,97.15,-15.73,64.38,1.09
2020,1,5,16,36.3,272.14,21.44,-17.44,67.08,1.23
2020,1,5,17,0.0,0.0,0.0,-18.84,60.49,1.69
2020,1,5,18,0.0,0.0,0.0,-19.67,62.01,1.91
2020,1,5,19,0.0,0.0,0.0,-19.89,63.36,1.83
2020,1,5,20,0.0,0.0,0.0,-19.8,66.37,1.79
2020,1,5,21,0.0,0.0,0.0,-19.42,68.27,1.93
2020,1,5,22,0.0,0.0,0.0,-19.17,67.48,1.96
2020,1,5,23,0.0,0.0,0.0,-18.77,68.94,1.94
2020,1,6,0,0.0,0.0,0.0,-18.21,75.98,1.85
2020,1,6,1,0.0,0.0,0.0,-18.28,83.34,2.1
2020,1,6,2,0.0,0.0,0.0,-18.38,88.73,2.36
2020,1,6,3,0.0,0.0,0.0,-18.13,91.91,2.58
2020,1,6,4,0.0,0.0,0.0,-17.65,92.22,2.61
2020,1,6,5,0.0,0.0,0.0,-16.82,90.04,1.98
2020,1,6,6,0.0,0.0,0.0,-16.55,89.82,1.8
2020,1,6,7,31.0,0.0,29.82,-16.46,91.04,1.81
2020,1,6,8,125.22,0.0,126.5,-15.82,91.91,2.0
2020,1,6,9,182.4,0.0,171.28,-13.06,88.34,2.67
2020,1,6,10,65.35,0.0,58.4,-10.61,82.14,3.49
2020,1,6,11,205.88,0.0,166.16,-9.02,79.11,3.98
2020,1,6,12,94.95,0.0,78.56,-8.11,76.84,4.55
2020,1,6,13,193.35,0.0,158.61,-7.77,76.0,5.03
2020,1,6,14,195.55,0.0,177.06,-7.76,75.26,4.86
2020,1,6,15,102.9,0.0,102.46,-8.57,81.76,4.27
2020,1,6,16,21.1,167.05,17.55,-10.28,87.43,3.32
2020,1,6,17,0.0,0.0,0.0,-12.4,88.56,3.32
2020,1,6,18,0.0,0.0,0.0,-13.69,88.67,3.52
2020,1,6,19,0.0,0.0,0.0,-14.49,89.52,3.63
2020,1,6,20,0.0,0.0,0.0,-15.06,89.82,3.77
2020,1,6,21,0.0,0.0,0.0,-15.35,89.94,3.79
2020,1,6,22,0.0,0.0,0.0,-15.39,89.67,3.74
2020,1,6,23,0.0,0.0,0.0,-15.44,90.05,3.63
2020,1,7,0,0.0,0.0,0.0,-15.49,90.45,3.54
2020,1,7,1,0.0,0.0,0.0,-15.34,89.75,3.31
2020,1,7,2,0.0,0.0,0.0,-15.43,89.27,3.01
2020,1,7,3,0.0,0.0,0.0,-15.79,88.63,3.04
2020,1,7,4,0.0,0.0,0.0,-15.72,86.84,2.86
2020,1,7,5,0.0,0.0,0.0,-16.03,86.29,2.88
2020,1,7,6,0.0,0.0,0.0,-16.64,86.78,2.97
2020,1,7,7,41.5,176.96,35.55,-17.13,84.74,3.21
2020,1,7,8,189.77,324.72,111.77,-15.16,81.38,3.03
2020,1,7,9,187.9,165.9,125.86,-11.77,71.45,4.36
2020,1,7,10,387.73,360.42,234.28,-10.81,67.46,6.18
2020,1,7,11,355.85,29.89,301.43,-10.61,67.7,7.07
2020,1,7,12,335.25,36.28,282.48,-10.65,67.5,7.33
2020,1,7,13,248.45,117.02,184.71,-10.85,66.75,7.16
2020,1,7,14,193.48,0.24,183.79,-11.29,67.41,6.45
2020,1,7,15,78.22,0.0,79.76,-12.02,74.52,4.3
2020,1,7,16,26.7,104.6,25.8,-13.48,84.08,2.49
2020,1,7,17,0.0,0.0,0.0,-14.89,80.23,2.37
2020,1,7,18,0.0,0.0,0.0,-15.74,79.63,2.28
2020,1,7,19,0.0,0.0,0.0,-16.32,81.5,2.24
2020,1,7,20,0.0,0.0,0.0,-17.29,84.37,2.62
2020,1,7,21,0.0,0.0,0.0,-17.55,84.29,2.59
2020,1,7,22,0.0,0.0,0.0,-17.51,84.64,2.52
2020,1,7,23,0.0,0.0,0.0,-17.45,85.53,2.42
2020,1,8,0,0.0,0.0,0.0,-17.64,87.06,2.43
2020,1,8,1,0.0,0.0,0.0,-17.79,87.56,2.42
2020,1,8,2,0.0,0.0,0.0,-18.26,88.48,2.58
2020,1,8,3,0.0,0.0,0.0,-19.08,88.27,2.75
2020,1,8,4,0.0,0.0,0.0,-20.09,85.52,2.81
2020,1,8,5,0.0,0.0,0.0,-21.14,81.72,2.87
2020,1,8,6,0.0,0.0,0.0,-21.82,76.69,2.81
2020,1,8,7,43.3,173.84,31.72,-22.21,74.16,2.74
2020,1,8,8,138.02,209.83,94.11,-21.08,77.39,2.64
2020,1,8,9,266.7,224.82,197.64,-17.07,71.09,3.61
2020,1,8,10,147.75,121.04,94.86,-15.23,67.83,4.44
2020,1,8,11,224.2,26.89,190.86,-14.51,68.73,5.21
2020,1,8,12,184.18,20.34,157.65,-14.36,69.29,5.69
2020,1,8,13,162.07,6.44,143.99,-14.44,68.18,5.77
2020,1,8,14,214.85,48.05,184.94,-14.77,69.75,5.13
2020,1,8,15,49.85,42.42,44.61,-15.19,74.8,3.83
2020,1,8,16,27.2,6.72,27.02,-16.63,84.27,2.45
2020,1,8,17,0.0,0.0,0.0,-18.75,80.03,2.65
2020,1,8,18,0.0,0.0,0.0,-20.31,74.58,2.77
2020,1,8,19,0.0,0.0,0.0,-21.31,69.03,2.63
2020,1,8,20,0.0,0.0,0.0,-21.72,66.6,2.25
2020,1,8,21,0.0,0.0,0.0,-22.14,66.1,1.8
2020,1,8,22,0.0,0.0,0.0,-23.11,70.27,1.57
2020,1,8,23,0.0,0.0,0.0,-24.47,77.59,1.65
2020,1,9,0,0.0,0.0,0.0,-26.02,85.76,1.88
2020,1,9,1,0.0,0.0,0.0,-27.39,96.69,2.01
2020,1,9,2,0.0,0.0,0.0,-28.42,100.0,1.92
2020,1,9,3,0.0,0.0,0.0,-29.59,100.0,1.88
2020,1,9,4,0.0,0.0,0.0,-30.87,100.0,1.97
2020,1,9,5,0.0,0.0,0.0,-31.83,100.0,2.07
2020,1,9,6,0.0,0.0,0.0,-32.65,100.0,2.19
2020,1,9,7,61.85,387.97,23.89,-33.0,100.0,2.26
2020,1,9,8,280.52,888.56,55.59,-31.24,97.46,2.36
2020,1,9,9,464.27,1023.82,66.12,-27.59,93.63,3.13
2020,1,9,10,563.9,908.28,146.84,-23.37,90.14,2.34
2020,1,9,11,537.15,506.73,273.52,-19.81,75.26,1.14
2020,1,9,12,536.55,553.55,220.18,-17.99,66.24,0.79
2020,1,9,13,384.0,512.85,129.79,-17.46,63.72,1.17
2020,1,9,14,318.75,448.8,161.93,-17.39,59.8,1.18
2020,1,9,15,187.38,516.33,66.51,-17.92,61.41,0.61
2020,1,9,16,40.65,272.17,24.05,-19.8,61.09,0.5
2020,1,9,17,0.0,0.0,0.0,-22.35,62.39,1.26
2020,1,9,18,0.0,0.0,0.0,-24.28,70.05,1.67
2020,1,9,19,0.0,0.0,0.0,-25.82,76.96,1.92
2020,1,9,20,0.0,0.0,0.0,-27.23,85.12,2.08
2020,1,9,21,0.0,0.0,0.0,-28.57,95.53,2.21
2020,1,9,22,0.0,0.0,0.0,-29.88,100.0,2.3
2020,1,9,23,0.0,0.0,0.0,-31.11,100.0,2.42
2020,1,10,0,0.0,0.0,0.0,-32.16,100.0,2.54
2020,1,10,1,0.0,0.0,0.0,-33.04,100.0,2.59
2020,1,10,2,0.0,0.0,0.0,-33.85,100.0,2.58
2020,1,10,3,0.0,0.0,0.0,-34.79,100.0,2.6
2020,1,10,4,0.0,0.0,0.0,-35.9,100.0,2.67
2020,1,10,5,0.0,0.0,0.0,-36.91,100.0,2.75
2020,1,10,6,0.0,0.0,0.0,-37.65,100.0,2.82
2020,1,10,7,79.2,473.98,18.02,-37.62,100.0,2.84
2020,1,10,8,289.95,911.97,36.54,-35.21,94.55,2.7
2020,1,10,9,473.45,1046.04,40.54,-29.42,86.11,2.91
2020,1,10,10,509.9,797.06,121.53,-24.7,87.88,2.75
2020,1,10,11,653.4,1110.64,56.75,-20.01,79.14,1.87
2020,1,10,12,631.08,1061.79,72.59,-16.41,60.76,1.1
2020,1,10,13,413.55,495.8,197.75,-14.11,50.14,1.71
2020,1,10,14,349.02,499.31,172.93,-13.55,46.63,1.88
2020,1,10,15,210.3,597.98,66.37,-14.43,58.07,1.14
2020,1,10,16,53.3,351.41,25.12,-16.21,46.29,0.65
2020,1,10,17,0.0,0.0,0.0,-18.71,46.57,0.15
2020,1,10,18,0.0,0.0,0.0,-20.91,51.58,0.81
2020,1,10,19,0.0,0.0,0.0,-22.47,56.59,1.46
2020,1,10,20,0.0,0.0,0.0,-23.98,61.66,1.93
2020,1,10,21,0.0,0.0,0.0,-25.29,67.2,2.18
2020,1,10,22,0.0,0.0,0.0,-26.51,72.52,2.28
2020,1,10,23,0.0,0.0,0.0,-27.9,79.55,2.43
2020,1,11,0,0.0,0.0,0.0,-29.39,85.74,2.63
2020,1,11,1,0.0,0.0,0.0,-30.79,93.81,2.83
2020,1,11,2,0.0,0.0,0.0,-31.74,97.75,2.78
2020,1,11,3,0.0,0.0,0.0,-32.75,100.0,2.79
2020,1,11,4,0.0,0.0,0.0,-33.68,100.0,2.93
2020,1,11,5,0.0,0.0,0.0,-34.33,100.0,3.06
2020,1,11,6,0.0,0.0,0.0,-34.61,100.0,3.09
2020,1,11,7,46.28,7.03,44.39,-34.16,92.28,2.97
2020,1,11,8,146.0,0.31,147.46,-31.78,80.62,2.77
2020,1,11,9,188.3,15.22,175.27,-26.16,73.63,2.76
2020,1,11,10,240.77,42.16,205.17,-21.68,81.63,2.73
2020,1,11,11,294.05,114.13,221.86,-17.19,78.25,2.26
2020,1,11,12,348.0,214.55,233.38,-13.24,59.56,1.55
2020,1,11,13,283.95,111.65,198.5,-10.92,53.32,1.67
2020,1,11,14,173.52,0.0,155.57,-10.19,52.88,1.44
2020,1,11,15,128.5,123.86,107.84,-10.52,60.49,1.01
2020,1,11,16,28.95,117.8,22.59,-12.03,55.41,0.66
2020,1,11,17,0.0,0.0,0.0,-13.7,55.95,0.98
2020,1,11,18,0.0,0.0,0.0,-14.66,60.05,1.05
2020,1,11,19,0.0,0.0,0.0,-15.6,66.73,1.5
2020,1,11,20,0.0,0.0,0.0,-16.47,74.3,1.96
2020,1,11,21,0.0,0.0,0.0,-17.1,80.16,2.11
2020,1,11,22,0.0,0.0,0.0,-17.41,84.62,2.12
2020,1,11,23,0.0,0.0,0.0,-17.7,89.82,2.13
2020,1,12,0,0.0,0.0,0.0,-17.98,92.92,2.24
2020,1,12,1,0.0,0.0,0.0,-18.22,94.24,2.33
2020,1,12,2,0.0,0.0,0.0,-18.51,95.24,2.41
2020,1,12,3,0.0,0.0,0.0,-18.82,95.56,2.5
2020,1,12,4,0.0,0.0,0.0,-18.99,94.65,2.4
2020,1,12,5,0.0,0.0,0.0,-19.26,94.64,2.51
2020,1,12,6,0.0,0.0,0.0,-19.76,94.88,2.65
2020,1,12,7,35.95,27.94,34.1,-19.64,94.69,2.65
2020,1,12,8,115.03,0.0,116.48,-16.44,92.02,2.58
2020,1,12,9,199.85,0.91,187.57,-11.65,85.26,3.42
2020,1,12,10,169.57,29.73,144.5,-7.93,81.41,4.35
2020,1,12,11,141.2,3.46,122.13,-5.84,78.32,6.01
2020,1,12,12,92.2,9.52,78.72,-5.13,76.87,6.96
2020,1,12,13,267.9,0.35,225.01,-5.0,75.48,6.78
2020,1,12,14,183.98,3.92,181.5,-5.13,75.82,5.8
2020,1,12,15,104.75,0.0,102.91,-5.7,80.58,4.96
2020,1,12,16,34.4,161.39,25.24,-7.14,85.42,4.17
2020,1,12,17,0.0,0.0,0.0,-8.96,86.88,3.98
2020,1,12,18,0.0,0.0,0.0,-10.78,87.17,3.8
2020,1,12,19,0.0,0.0,0.0,-13.16,87.96,3.63
2020,1,12,20,0.0,0.0,0.0,-14.53,88.83,3.62
2020,1,12,21,0.0,0.0,0.0,-14.91,91.94,3.4
2020,1,12,22,0.0,0.0,0.0,-16.48,96.56,3.74
2020,1,12,23,0.0,0.0,0.0,-18.0,100.0,4.26
2020,1,13,0,0.0,0.0,0.0,-17.04,98.74,3.66
2020,1,13,1,0.0,0.0,0.0,-16.05,96.74,3.55
2020,1,13,2,0.0,0.0,0.0,-14.94,94.45,3.35
2020,1,13,3,0.0,0.0,0.0,-14.46,93.48,3.3
2020,1,13,4,0.0,0.0,0.0,-14.4,93.43,3.34
2020,1,13,5,0.0,0.0,0.0,-14.42,92.02,3.47
2020,1,13,6,0.0,0.0,0.0,-14.6,90.89,3.6
2020,1,13,7,14.3,0.0,13.75,-14.69,89.47,3.68
2020,1,13,8,35.83,0.0,36.28,-12.48,87.82,4.04
2020,1,13,9,148.95,0.0,133.51,-8.64,78.45,6.26
2020,1,13,10,47.45,0.0,41.43,-6.99,74.15,8.23
2020,1,13,11,89.22,0.0,73.77,-6.26,72.56,10.01
2020,1,13,12,71.25,0.0,61.87,-6.08,71.3,10.5
2020,1,13,13,46.65,0.36,40.71,-5.96,71.45,9.52
2020,1,13,14,56.97,0.0,53.48,-5.92,73.29,7.86
2020,1,13,15,34.35,0.0,34.7,-6.16,76.91,7.36
2020,1,13,16,19.95,16.89,18.95,-6.7,70.64,9.48
2020,1,13,17,0.0,0.0,0.0,-7.57,79.75,6.4
2020,1,13,18,0.0,0.0,0.0,-8.06,82.62,9.03
2020,1,13,19,0.0,0.0,0.0,-11.08,75.6,8.89
2020,1,13,20,0.0,0.0,0.0,-13.53,79.32,4.91
2020,1,13,21,0.0,0.0,0.0,-14.43,78.23,5.78
2020,1,13,22,0.0,0.0,0.0,-14.8,76.59,6.18
2020,1,13,23,0.0,0.0,0.0,-15.66,75.86,6.27
2020,1,14,0,0.0,0.0,0.0,-17.35,75.71,6.06
2020,1,14,1,0.0,0.0,0.0,-20.17,76.35,4.97
2020,1,14,2,0.0,0.0,0.0,-23.09,73.69,4.39
2020,1,14,3,0.0,0.0,0.0,-23.83,70.19,3.31
2020,1,14,4,0.0,0.0,0.0,-24.08,71.99,2.65
2020,1,14,5,0.0,0.0,0.0,-24.61,75.94,2.22
2020,1,14,6,0.0,0.0,0.0,-25.68,81.48,2.21
2020,1,14,7,44.67,140.93,33.23,-26.7,86.89,2.36
2020,1,14,8,179.6,337.28,103.19,-26.05,79.79,2.38
2020,1,14,9,310.15,340.62,186.33,-22.16,74.22,2.42
2020,1,14,10,149.32,121.36,94.52,-17.13,60.93,3.37
2020,1,14,11,277.75,12.2,242.56,-14.55,58.69,4.58
2020,1,14,12,186.02,184.69,138.66,-13.44,60.74,5.22
2020,1,14,13,194.95,24.31,157.5,-13.01,62.13,5.34
2020,1,14,14,155.25,0.0,145.79,-13.08,62.55,5.1
2020,1,14,15,62.22,0.0,62.83,-13.68,69.08,4.08
2020,1,14,16,24.8,30.47,24.51,-15.51,79.44,2.67
2020,1,14,17,0.0,0.0,0.0,-17.49,71.56,2.59
2020,1,14,18,0.0,0.0,0.0,-18.08,64.47,2.35
2020,1,14,19,0.0,0.0,0.0,-18.65,62.53,2.23
2020,1,14,20,0.0,0.0,0.0,-19.67,62.82,2.27
2020,1,14,21,0.0,0.0,0.0,-20.74,63.82,2.27
2020,1,14,22,0.0,0.0,0.0,-21.8,66.44,2.33
2020,1,14,23,0.0,0.0,0.0,-22.6,67.18,2.37
2020,1,15,0,0.0,0.0,0.0,-23.32,68.36,2.32
2020,1,15,1,0.0,0.0,0.0,-24.36,73.03,2.37
2020,1,15,2,0.0,0.0,0.0,-25.28,77.03,2.48
2020,1,15,3,0.0,0.0,0.0,-25.84,83.09,2.44
2020,1,15,4,0.0,0.0,0.0,-26.41,89.72,2.42
2020,1,15,5,0.0,0.0,0.0,-27.11,96.37,2.48
2020,1,15,6,0.0,0.0,0.0,-27.9,100.0,2.6
2020,1,15,7,38.08,97.46,33.29,-28.19,100.0,2.68
2020,1,15,8,227.57,612.94,88.55,-26.69,92.54,2.69
2020,1,15,9,405.38,719.63,126.62,-21.74,86.55,2.81
2020,1,15,10,358.1,429.0,132.7,-16.83,80.23,2.93
2020,1,15,11,499.42,409.63,289.93,-13.06,70.74,3.88
2020,1,15,12,288.17,32.2,234.25,-11.79,68.44,4.69
2020,1,15,13,319.1,49.76,263.19,-11.54,66.87,5.08
2020,1,15,14,215.2,74.48,174.07,-11.69,66.1,4.58
2020,1,15,15,138.88,51.32,128.15,-12.11,72.96,2.87
2020,1,15,16,31.42,22.9,29.84,-13.18,78.96,1.54
2020,1,15,17,0.0,0.0,0.0,-14.11,69.43,1.38
2020,1,15,18,0.0,0.0,0.0,-14.83,69.8,1.31
2020,1,15,19,0.0,0.0,0.0,-15.5,72.53,1.24
2020,1,15,20,0.0,0.0,0.0,-16.06,76.43,1.02
2020,1,15,21,0.0,0.0,0.0,-16.59,80.29,0.75
2020,1,15,22,0.0,0.0,0.0,-16.9,83.3,0.44
2020,1,15,23,0.0,0.0,0.0,-17.35,87.56,0.23
2020,1,16,0,0.0,0.0,0.0,-17.85,91.03,0.52
2020,1,16,1,0.0,0.0,0.0,-18.47,94.97,0.99
2020,1,16,2,0.0,0.0,0.0,-19.06,97.15,1.33
2020,1,16,3,0.0,0.0,0.0,-19.62,99.0,1.45
2020,1,16,4,0.0,0.0,0.0,-20.09,99.92,1.41
2020,1,16,5,0.0,0.0,0.0,-20.44,98.66,1.31
2020,1,16,6,0.0,0.0,0.0,-20.89,98.19,1.32
2020,1,16,7,37.92,34.56,37.7,-21.28,97.95,1.45
2020,1,16,8,157.57,173.69,125.15,-20.6,91.78,1.6
2020,1,16,9,171.2,19.38,157.89,-17.64,86.56,1.63
2020,1,16,10,368.2,317.46,229.96,-14.26,62.17,1.65
2020,1,16,11,366.4,44.15,297.23,-13.24,60.9,2.18
2020,1,16,12,403.88,138.43,305.0,-12.77,61.04,2.73
2020,1,16,13,329.15,154.35,222.39,-12.75,59.97,2.9
2020,1,16,14,248.7,88.24,192.68,-13.09,58.53,2.59
2020,1,16,15,142.1,173.33,101.14,-13.55,59.07,1.92
2020,1,16,16,42.8,116.56,33.82,-14.58,71.94,0.96
2020,1,16,17,0.0,0.0,0.0,-15.96,60.88,0.97
2020,1,16,18,0.0,0.0,0.0,-17.73,63.17,1.05
